Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-04-01 00:00:00+08:00,9.93,9.94,9.75,9.76,1346331000,0.0,0.0,0.0
2024-04-02 00:00:00+08:00,9.77,9.83,9.77,9.8,378309400,0.0,0.0,0.0
2024-04-03 00:00:00+08:00,9.78,9.83,9.74,9.79,273920700,0.0,0.0,0.0
2024-04-08 00:00:00+08:00,9.8,9.81,9.75,9.77,289957200,0.0,0.0,0.0
2024-04-09 00:00:00+08:00,9.78,9.83,9.77,9.8,157813600,0.0,0.0,0.0
2024-04-10 00:00:00+08:00,9.82,9.88,9.82,9.85,158031700,0.0,0.0,0.0
2024-04-11 00:00:00+08:00,9.83,9.86,9.79,9.85,132232000,0.0,0.0,0.0
2024-04-12 00:00:00+08:00,9.85,9.93,9.85,9.91,136739000,0.0,0.0,0.0
2024-04-15 00:00:00+08:00,9.89,9.89,9.81,9.82,153426300,0.0,0.0,0.0
2024-04-16 00:00:00+08:00,9.76,9.77,9.53,9.53,666359100,0.0,0.0,0.0
2024-04-17 00:00:00+08:00,9.56,9.65,9.56,9.63,134481600,0.0,0.0,0.0
2024-04-18 00:00:00+08:00,9.59,9.63,9.56,9.6,99079000,0.0,0.0,0.0
2024-04-19 00:00:00+08:00,9.5,9.51,9.27,9.39,461737800,0.0,0.0,0.0
2024-04-22 00:00:00+08:00,9.4,9.44,9.26,9.26,263017100,0.0,0.0,0.0
2024-04-23 00:00:00+08:00,9.32,9.4,9.26,9.3,130081000,0.0,0.0,0.0
2024-04-24 00:00:00+08:00,9.4,9.56,9.4,9.54,149085100,0.0,0.0,0.0
2024-04-25 00:00:00+08:00,9.46,9.48,9.42,9.44,83057360,0.0,0.0,0.0
2024-04-26 00:00:00+08:00,9.47,9.53,9.46,9.49,67599620,0.0,0.0,0.0
2024-04-29 00:00:00+08:00,9.57,9.64,9.56,9.63,102797400,0.0,0.0,0.0
2024-04-30 00:00:00+08:00,9.65,9.65,9.59,9.6,55625510,0.0,0.0,0.0
2024-05-02 00:00:00+08:00,9.59,9.59,9.55,9.58,71638410,0.0,0.0,0.0
2024-05-03 00:00:00+08:00,9.65,9.66,9.56,9.56,70585930,0.0,0.0,0.0
2024-05-06 00:00:00+08:00,9.6,9.63,9.58,9.6,83910060,0.0,0.0,0.0
2024-05-07 00:00:00+08:00,9.62,9.63,9.55,9.58,73140750,0.0,0.0,0.0
